"","ggF","VBF","Top","Z->tt","Z->ll","DiBoson","Fakes","SM Higgs","Total Bkg.","Data","Data/Bkg"
"Cut Base","3511.17 +/- 6.20","297.69 +/- 0.70","1855234.20 +/- 898.97","912252.15 +/- 1259.58","5365741.38 +/- 16324.90","184976.68 +/- 233.39","35694063.96 +/- 64352.28","3243.06 +/- 5.86","49401324.29 +/- 67742.19","42173465","0.85 +/- 0.00"
"Cut Channel","3455.00 +/- 6.15","286.81 +/- 0.69","899429.34 +/- 639.55","316717.06 +/- 695.04","1808996.94 +/- 10344.11","81550.48 +/- 161.09","19969497.10 +/- 39932.20","1377.86 +/- 3.80","24895400.07 +/- 42001.12","22185032","0.89 +/- 0.00"
"Cut Hadronic Tau","3304.35 +/- 6.02","254.57 +/- 0.65","899429.34 +/- 639.55","316717.06 +/- 695.04","1808996.94 +/- 10344.11","81550.48 +/- 161.09","19969497.10 +/- 39932.20","1377.86 +/- 3.80","24895400.07 +/- 42001.12","22185032","0.89 +/- 0.00"
"Cut Trigger","3102.87 +/- 5.84","241.56 +/- 0.63","823376.24 +/- 605.74","278484.63 +/- 644.75","1580361.01 +/- 9928.82","75524.07 +/- 155.28","19575227.67 +/- 37862.51","1239.16 +/- 3.59","23923085.02 +/- 39844.80","21517570","0.90 +/- 0.00"
"Cut NPVX","2910.99 +/- 5.65","225.69 +/- 0.61","774938.44 +/- 587.55","259229.24 +/- 625.99","1470565.76 +/- 9717.00","70857.61 +/- 150.57","19496619.98 +/- 36775.52","1162.45 +/- 3.48","23552311.70 +/- 38711.55","21305142","0.90 +/- 0.00"
"Cut LepQual","2804.53 +/- 5.55","218.55 +/- 0.60","734405.28 +/- 569.20","246631.86 +/- 613.47","1405371.95 +/- 9039.40","68039.44 +/- 147.58","14385781.27 +/- 35977.04","1102.04 +/- 3.38","18253501.34 +/- 37755.19","16112129","0.88 +/- 0.00"
"Cut TauQual","2768.42 +/- 5.51","216.03 +/- 0.60","718152.71 +/- 563.03","242494.40 +/- 608.73","1300104.38 +/- 8814.16","65879.97 +/- 145.24","13864374.92 +/- 35533.63","1087.40 +/- 3.36","17498694.20 +/- 37242.05","15478905","0.88 +/- 0.00"
"Cut OS","2705.78 +/- 5.45","210.81 +/- 0.59","468838.87 +/- 454.04","227434.53 +/- 579.92","873552.97 +/- 7316.76","44844.61 +/- 120.78","8023471.80 +/- 29426.03","996.56 +/- 3.23","10516487.57 +/- 30894.36","9173022","0.87 +/- 0.00"
"Cut Tau/AntiTau","1612.30 +/- 4.21","126.80 +/- 0.46","49572.98 +/- 153.03","122701.57 +/- 378.27","-1113541.31 +/- 3684.22","7333.47 +/- 44.70","605104.44 +/- 10726.92","571.20 +/- 2.46","-91383.49 +/- 11766.59","620478","-6.79 +/- -0.87"
"LepPt > 27 GeV","1609.56 +/- 4.21","126.44 +/- 0.46","40261.45 +/- 139.83","116807.89 +/- 366.98","-1127111.16 +/- 3423.70","6375.10 +/- 40.93","1559177.11 +/- 3962.93","557.96 +/- 2.44","821192.07 +/- 6078.43","589725","0.72 +/- 0.01"
"TauPt > 25 GeV","1477.57 +/- 4.03","117.08 +/- 0.44","35547.51 +/- 131.56","95974.73 +/- 332.71","-684639.02 +/- 2950.58","5527.50 +/- 38.45","1007523.17 +/- 3384.33","510.83 +/- 2.33","674612.17 +/- 5394.47","448166","0.66 +/- 0.01"
"Cut Zee Veto","1465.85 +/- 4.02","116.20 +/- 0.44","35215.02 +/- 130.98","95058.41 +/- 331.23","-611725.18 +/- 2821.68","5464.23 +/- 38.23","924240.52 +/- 3236.86","506.83 +/- 2.32","653093.96 +/- 5216.05","432014","0.66 +/- 0.01"
"cos(Dphi) > -0.35","1289.22 +/- 3.78","96.59 +/- 0.40","25255.48 +/- 109.75","89035.25 +/- 316.74","137231.06 +/- 1053.98","3389.15 +/- 30.77","89034.05 +/- 1099.07","462.01 +/- 2.22","521643.46 +/- 3113.03","318950","0.61 +/- 0.00"
