"","ggF","VBF","Top","Z->tt","Z->ll","DiBoson","Fakes","SM Higgs","Total Bkg.","Data","Data/Bkg"
"Cut Base","3511.17 +/- 6.20","297.69 +/- 0.70","1855234.20 +/- 898.97","912252.15 +/- 1259.58","-14908.00 +/- 21103.05","184976.68 +/- 233.39","35694063.96 +/- 64352.28","3243.06 +/- 5.86","44020674.91 +/- 69049.56","42173465","0.96 +/- 0.00"
"Cut Channel","3455.00 +/- 6.15","286.81 +/- 0.69","899429.34 +/- 639.55","316717.06 +/- 695.04","-7623.00 +/- 12984.40","81550.48 +/- 161.09","19969497.10 +/- 39932.20","1377.86 +/- 3.80","23078780.13 +/- 42728.07","22185032","0.96 +/- 0.00"
"Cut Hadronic Tau","3304.35 +/- 6.02","254.57 +/- 0.65","899429.34 +/- 639.55","316717.06 +/- 695.04","-7623.00 +/- 12984.40","81550.48 +/- 161.09","19969497.10 +/- 39932.20","1377.86 +/- 3.80","23078780.13 +/- 42728.07","22185032","0.96 +/- 0.00"
"Cut Trigger","3102.87 +/- 5.84","241.56 +/- 0.63","823376.24 +/- 605.74","278484.63 +/- 644.75","-7391.00 +/- 12378.67","75524.07 +/- 155.28","19575227.67 +/- 37862.51","1239.16 +/- 3.59","22335333.01 +/- 40524.78","21517570","0.96 +/- 0.00"
"Cut NPVX","2910.99 +/- 5.65","225.69 +/- 0.61","774938.44 +/- 587.55","259229.24 +/- 625.99","-7324.00 +/- 12057.59","70857.61 +/- 150.57","19496619.98 +/- 36775.52","1162.45 +/- 3.48","22074421.93 +/- 39364.32","21305142","0.97 +/- 0.00"
"Cut LepQual","2804.53 +/- 5.55","218.55 +/- 0.60","734405.28 +/- 569.20","246631.86 +/- 613.47","-5786.00 +/- 11418.61","68039.44 +/- 147.58","14385781.27 +/- 35977.04","1102.04 +/- 3.38","16842343.38 +/- 38394.38","16112129","0.96 +/- 0.00"
"Cut TauQual","2768.42 +/- 5.51","216.03 +/- 0.60","718152.71 +/- 563.03","242494.40 +/- 608.73","-5537.00 +/- 11118.56","65879.97 +/- 145.24","13864374.92 +/- 35533.63","1087.40 +/- 3.36","16193052.82 +/- 37853.70","15478905","0.96 +/- 0.00"
"Cut OS","2705.78 +/- 5.45","210.81 +/- 0.59","468838.87 +/- 454.04","227434.53 +/- 579.92","-3228.00 +/- 9381.51","44844.61 +/- 120.78","8023471.80 +/- 29426.03","996.56 +/- 3.23","9639706.60 +/- 31447.40","9173022","0.95 +/- 0.00"
"Cut Tau/AntiTau","1612.30 +/- 4.21","126.80 +/- 0.46","49572.98 +/- 153.03","122701.57 +/- 378.27","-1350323.33 +/- 4818.42","7333.47 +/- 44.70","605104.44 +/- 10726.92","571.20 +/- 2.46","-328165.51 +/- 12169.48","620478","-1.89 +/- -0.07"
"LepPt > 27 GeV","1609.56 +/- 4.21","126.44 +/- 0.46","40261.45 +/- 139.83","116807.89 +/- 366.98","-1352150.63 +/- 4592.01","6375.10 +/- 40.93","1559177.11 +/- 3962.93","557.96 +/- 2.44","596152.60 +/- 6805.30","589725","0.99 +/- 0.01"
"TauPt > 25 GeV","1477.57 +/- 4.03","117.08 +/- 0.44","35547.51 +/- 131.56","95974.73 +/- 332.71","-898731.02 +/- 4185.34","5527.50 +/- 38.45","1007523.17 +/- 3384.33","510.83 +/- 2.33","460520.17 +/- 6157.22","448166","0.97 +/- 0.01"
"Cut Zee Veto","1465.85 +/- 4.02","116.20 +/- 0.44","35215.02 +/- 130.98","95058.41 +/- 331.23","-815987.03 +/- 4074.49","5464.23 +/- 38.23","924240.52 +/- 3236.86","506.83 +/- 2.32","448832.11 +/- 5987.22","432014","0.96 +/- 0.01"
"cos(Dphi) > -0.35","1289.22 +/- 3.78","96.59 +/- 0.40","25255.48 +/- 109.75","89035.25 +/- 316.74","-39962.77 +/- 2893.03","3389.15 +/- 30.77","89034.05 +/- 1099.07","462.01 +/- 2.22","344449.63 +/- 4117.00","318950","0.93 +/- 0.01"
"Dn(l,t) < 2","1257.59 +/- 3.73","95.07 +/- 0.40","22487.84 +/- 103.81","88714.33 +/- 316.09","-40571.50 +/- 2846.38","2982.77 +/- 24.73","67764.08 +/- 1003.00","458.24 +/- 2.21","313040.91 +/- 4033.56","290568","0.93 +/- 0.01"
"Nbjet = 0","1178.69 +/- 3.57","83.08 +/- 0.36","2113.86 +/- 31.13","83084.00 +/- 297.71","-54093.75 +/- 2772.74","2614.47 +/- 23.16","56046.48 +/- 979.59","415.62 +/- 2.09","253643.88 +/- 3932.05","251686","0.99 +/- 0.02"
"Preselection","1091.82 +/- 3.44","77.01 +/- 0.34","1827.73 +/- 26.54","76618.42 +/- 287.31","-10035.96 +/- 603.45","2253.01 +/- 21.03","67077.15 +/- 573.29","387.03 +/- 2.02","159489.53 +/- 1279.11","169455","1.06 +/- 0.01"
"TauPt > 45 GeV","438.00 +/- 2.15","41.45 +/- 0.25","954.44 +/- 19.20","10018.23 +/- 99.08","-4060.71 +/- 378.27","1054.97 +/- 14.11","12526.15 +/- 225.84","161.70 +/- 1.28","28790.61 +/- 743.22","32419","1.13 +/- 0.03"
"SR1: m_T(l,MET) > 40 GeV","274.55 +/- 1.70","28.15 +/- 0.21","736.01 +/- 16.92","1796.59 +/- 39.79","-705.69 +/- 141.69","789.50 +/- 12.28","8385.97 +/- 153.73","33.61 +/- 0.56","12284.43 +/- 321.28","13809","1.12 +/- 0.03"
"SR1: m_T(t,MET) < 30 GeV","207.21 +/- 1.46","22.31 +/- 0.18","284.27 +/- 10.92","1210.22 +/- 32.61","-359.19 +/- 106.35","351.80 +/- 8.10","5119.11 +/- 127.10","20.13 +/- 0.43","7239.20 +/- 270.44","7617","1.05 +/- 0.04"
"TauPt > 45 GeV","438.00 +/- 2.15","41.45 +/- 0.25","954.44 +/- 19.20","10018.23 +/- 99.08","-4060.71 +/- 378.27","1054.97 +/- 14.11","12526.15 +/- 225.84","161.70 +/- 1.28","28790.61 +/- 743.22","32419","1.13 +/- 0.03"
"SR2: m_T(l,MET) < 40 GeV","163.45 +/- 1.31","13.30 +/- 0.14","218.43 +/- 9.07","8221.64 +/- 90.74","-3355.02 +/- 350.73","265.47 +/- 6.94","4140.18 +/- 165.44","128.09 +/- 1.15","16506.19 +/- 670.19","18610","1.13 +/- 0.05"
"SR2: m_T(t,MET) < 60 GeV","128.94 +/- 1.16","10.85 +/- 0.13","52.12 +/- 3.94","5283.45 +/- 68.94","-2085.70 +/- 250.66","117.51 +/- 4.17","2527.79 +/- 157.09","66.88 +/- 0.81","10765.62 +/- 539.40","11833","1.10 +/- 0.06"
"SR2: lephad_vis_mass > 100 GeV","121.00 +/- 1.13","8.90 +/- 0.12","21.87 +/- 2.50","481.16 +/- 18.18","-267.31 +/- 121.35","47.32 +/- 3.29","1521.94 +/- 71.02","15.47 +/- 0.40","2563.63 +/- 195.84","2819","1.10 +/- 0.09"
"SR3: LepPt > 45 GeV","924.23 +/- 3.18","60.21 +/- 0.30","1394.72 +/- 23.39","8581.93 +/- 78.49","-1059.35 +/- 332.86","1672.91 +/- 18.56","33607.77 +/- 476.79","127.87 +/- 1.10","50417.65 +/- 812.24","58546","1.16 +/- 0.02"
"SR3: TauPt < 45 GeV","468.87 +/- 2.28","22.32 +/- 0.19","292.64 +/- 11.02","2028.20 +/- 39.42","-418.90 +/- 171.36","484.58 +/- 10.58","20596.89 +/- 385.99","29.70 +/- 0.57","24597.73 +/- 518.94","25054","1.02 +/- 0.02"
"VBF SR","9.80 +/- 0.27","19.21 +/- 0.17","72.24 +/- 5.15","275.62 +/- 12.89","39.78 +/- 20.09","37.77 +/- 1.93","258.45 +/- 17.16","10.21 +/- 0.19","754.72 +/- 41.39","716","0.95 +/- 0.06"
